Timestamp,Plume Index,Plume Index Level,NO2 AQI,NO2 AQI_AD,NO2 AQI_CN,NO2 CAQI,NO2 PI,NO2 Value_UPM,O3 AQI,O3 AQI_AD,O3 AQI_CN,O3 CAQI,O3 PI,O3 Value_UPM,PM10 AQI,PM10 AQI_AD,PM10 AQI_CN,PM10 CAQI,PM10 PI,PM10 Value_UPM,PM25 AQI,PM25 AQI_AD,PM25 AQI_CN,PM25 CAQI,PM25 PI,PM25 Value_UPM,,aqi, so2
1716768000,25,2,2.15,1.07,2.14,2.14,9,4.2852,26.93,33.39,20.87,27.82,25,66.7753,5.48,3.95,5.92,5.92,8,5.9176,2.47,1.64,0.85,0.99,2,89,,,15
1716854400,24,2,1.86,0.93,1.85,1.85,7,3.7022,26.48,32.84,20.53,27.37,24,65.6827,0,0,0,0,0,0,0.92,0.62,0.32,0.37,1,81,,126,13
1716940800,34,2,2.5,1.24,2.49,2.49,10,4.9777,29.87,37.04,23.15,30.87,31,74.0794,26.54,19.11,28.67,28.67,34,28.6653,0,0,0,0,0,96,,110,24
1717027200,34,2,3.07,1.53,3.06,3.06,12,6.1179,31.52,39.08,24.42,32.57,34,78.1592,20.45,14.72,22.08,22.08,27,22.0849,0,0,0,0,0,89,,98,23
1717113600,82,3,3.15,1.57,3.14,3.14,13,6.2704,33.53,41.58,25.99,34.65,37,83.1549,57.03,44.79,58.6,60.75,82,67.1921,0,0,0,0,0,57,,128,15
1717200000,167,5,4.22,2.1,4.2,4.2,17,8.4057,35.08,43.5,27.19,36.25,40,86.9938,116.9,124.75,118.56,101.98,167,187.1269,8.8,5.87,3.02,3.52,8,87,,99,15
1717286400,24,2,2.5,1.25,2.49,2.49,10,4.9816,26.23,32.52,20.33,27.1,24,65.0428,3.79,2.73,4.1,4.1,5,4.0979,0.01,0,0,0,0,118,,88,14
1717372800,40,2,1.99,0.99,1.98,1.98,8,3.9644,24.7,30.63,19.15,25.53,21,61.2657,32.36,23.3,34.95,34.95,40,34.9507,0.55,0.36,0.19,0.22,1,132,,87,15
1717459200,21,2,1.71,0.85,1.7,1.7,7,3.3991,24.94,30.93,19.33,25.77,21,61.8539,13.08,9.42,14.12,14.12,19,14.1231,0.41,0.27,0.14,0.16,0,122,,95,17
1717545600,20,1,1.66,0.83,1.65,1.65,7,3.3025,23.92,29.65,18.53,24.71,20,59.3095,1.07,0.77,1.15,1.15,2,1.1516,0,0,0,0,0,136,,103,16
1717632000,20,1,1.78,0.89,1.77,1.77,7,3.547,23.88,29.61,18.5,24.67,20,59.2152,1.27,0.91,1.37,1.37,2,1.3692,0,0,0,0,0,111,,100,15
1717718400,19,1,2.1,1.05,2.09,2.09,8,4.1841,23.09,28.63,17.9,23.86,19,57.2669,10.28,7.4,11.11,11.11,15,11.1055,0.41,0.28,0.14,0.17,0,105,,89,16
