Date,PM2.5,PM10,NO2,O3,aqi, so2
1716768000,89,5.9176,4.2852,66.7753,0.0,15
1716854400,81,0.0,3.7022,65.6827,126.0,13
1716940800,96,28.6653,4.9777,74.0794,110.0,24
1717027200,89,22.0849,6.1179,78.1592,98.0,23
1717113600,57,67.1921,6.2704,83.1549,128.0,15
1717200000,87,187.1269,8.4057,86.9938,99.0,15
1717286400,118,4.0979,4.9816,65.0428,88.0,14
1717372800,132,34.9507,3.9644,61.2657,87.0,15
1717459200,122,14.1231,3.3991,61.8539,95.0,17
1717545600,136,1.1516,3.3025,59.3095,103.0,16
1717632000,111,1.3692,3.547,59.2152,100.0,15
1717718400,105,11.1055,4.1841,57.2669,89.0,16
1717804800,104,10.8568,4.4837,56.0906,95.0,18
1717891200,103,4.5138,4.3186,57.6559,87.0,17
1717977600,91,0.8653,3.8999,59.2357,84.0,17
1718064000,85,0.0257,3.7187,62.2538,79.0,16
1718150400,94,1.2413,3.4357,63.6078,81.0,17
1718236800,104,0.6572,3.4589,65.2048,94.0,18
1718323200,100,1.6109,3.7224,61.0262,151.0,19
1718409600,93,11.3956,4.3147,61.1597,158.0,17
1718496000,103,19.0782,4.7732,62.2984,125.0,17
1718582400,104,38.2353,4.4002,64.2194,131.0,16
1718668800,102,2.1602,3.7009,59.0225,185.0,17
1718755200,102,31.4574,4.9818,64.2446,172.0,18
1718841600,112,120.6594,7.6462,76.3383,179.0,17
1718928000,67,69.0524,7.0026,72.3963,155.0,16
1719014400,99,148.6584,7.7429,70.3076,96.0,16
1719100800,88,117.5935,6.4013,57.9923,95.0,14
1719187200,92,113.0031,6.2526,60.1881,125.0,13
1719273600,105,87.8829,7.1223,68.0646,169.0,15
1719360000,88,102.0819,7.9228,68.9156,171.0,13
1719446400,83,98.6774,7.4415,63.2085,70.0,14
1719532800,89,63.4615,12.1902,89.0195,77.0,12
1719619200,120,17.0221,10.2509,78.5322,81.0,13
1719705600,115,13.6138,8.1604,73.8927,79.0,12
1719792000,102,33.86,4.0414,69.5215,78.0,14
1719878400,90,19.5607,4.85,67.7221,82.0,14
1719964800,51,16.3095,4.5477,60.4921,83.0,13
1720051200,27,34.8911,4.5202,60.3698,113.0,13
1720137600,32,30.3216,4.4146,65.0129,96.0,14
1720224000,36,30.7898,4.7693,80.48,110.0,13
1720310400,59,49.9464,6.221,74.9902,117.0,13
1720396800,55,135.6757,11.5239,79.519,115.0,14
1720483200,103,97.056,14.1212,94.9837,111.0,14
1720569600,114,71.0715,8.6524,61.1071,112.0,15
1720656000,78,2.8991,4.8902,53.6844,99.0,13
1720742400,61,2.1461,4.4289,49.7748,127.0,15
1720828800,72,0.0,6.2795,49.8453,151.0,6
1720915200,91,9.7279,8.3889,45.2801,166.0,1
1721001600,88,117.4861,9.6082,60.9525,160.0,2
1721088000,110,112.1871,7.202,62.6216,158.0,15
1721174400,34,87.0437,9.1543,65.9837,115.0,12
1721260800,33,71.2139,5.111,71.0174,105.0,15
1721347200,87,54.5241,5.8745,71.5041,97.0,14
1721433600,100,101.1253,8.3078,75.5844,99.0,14
1721520000,114,66.6816,10.4349,106.2178,105.0,14
1721606400,74,15.1208,4.8924,68.9443,107.0,12
1721692800,55,14.3318,4.9688,58.8938,96.0,13
1721779200,65,65.802,4.4878,59.1775,79.0,13
1721865600,65,93.1286,5.5071,58.5959,78.0,15
1721952000,76,66.5489,5.1337,63.6239,81.0,20
1722038400,103,92.7283,5.3135,62.6209,92.0,21
1722124800,70,137.9945,9.9991,64.6779,128.0,7
1722211200,53,136.0647,11.2699,68.8452,113.0,5
1722297600,29,86.2751,13.012,61.8056,139.0,6
1722384000,82,2.9065,10.128,70.3322,152.0,6
1722470400,80,0.0,5.7625,58.2088,139.0,8
1722556800,78,3.2756,6.5651,48.3907,151.0,7
1722643200,71,22.794,12.2132,43.7892,144.0,8
1722729600,76,75.391,9.0402,53.3975,154.0,7
1722816000,88,31.286,11.1989,52.775,140.0,8
1722902400,98,4.1417,7.114,47.5861,155.0,6
1722988800,137,0.4625,5.5778,49.4086,154.0,8
1723075200,132,0.9191,5.7788,51.4909,180.0,8
1723161600,153,2.7669,4.9493,49.2508,176.0,7
1723248000,65,0.183,4.1845,48.2336,170.0,6
1723334400,100,0.3269,4.4732,45.507,161.0,11
1723420800,181,18.7212,5.9392,43.0696,153.0,13
1723507200,158,65.0214,5.7443,44.9123,153.0,15
